Video recorder service initialized
video-recorder.ts:94 Started recording segment 1
video-recorder.ts:55 Video recording started
websocket.ts:29 Connecting to analysis WebSocket: ws://localhost:8080/ws/analysis/287a5f4e-c982-4d29-a2f0-bfb9652d6c52
RecordingPage.tsx:84 Recording started: 287a5f4e-c982-4d29-a2f0-bfb9652d6c52
websocket.ts:35 Analysis WebSocket connected
video-recorder.ts:133 Segment 1 complete, size: 9845926 bytes
RecordingPage.tsx:67 Segment recorded: 0
video-recorder.ts:179 Segment 1 uploaded successfully: {filename: 'video_1761320453611.webm', size: 9845926, sessionId: '287a5f4e-c982-4d29-a2f0-bfb9652d6c52', message: 'Video received and queued for analysis', status: 'received'}
RecordingPage.tsx:59 Segment uploaded: {filename: 'video_1761320453611.webm', size: 9845926, sessionId: '287a5f4e-c982-4d29-a2f0-bfb9652d6c52', message: 'Video received and queued for analysis', status: 'received'}
video-recorder.ts:94 Started recording segment 2
websocket.ts:42 Received token:

📹 [分析窗口 1/3] (0.0s - 15.0s)

websocket.ts:42 Received token: 视频
websocket.ts:42 Received token: 开始
websocket.ts:42 Received token: 时
websocket.ts:42 Received token: 画面
websocket.ts:42 Received token: 较
websocket.ts:42 Received token: 暗
websocket.ts:42 Received token: ，
websocket.ts:42 Received token: 随后
websocket.ts:42 Received token: 逐渐
websocket.ts:42 Received token: 亮
websocket.ts:42 Received token: 起
websocket.ts:42 Received token: ，
websocket.ts:42 Received token: 展现出
websocket.ts:42 Received token: 一个
websocket.ts:42 Received token: 桌面
websocket.ts:42 Received token: 工作
websocket.ts:42 Received token: 环境
websocket.ts:42 Received token: 。
websocket.ts:42 Received token: 桌
websocket.ts:42 Received token: 面上
websocket.ts:42 Received token: 摆放
websocket.ts:42 Received token: 着
websocket.ts:42 Received token: 一台
websocket.ts:42 Received token: 显示器
websocket.ts:42 Received token: 、
websocket.ts:42 Received token: 一个
websocket.ts:42 Received token: 色彩
websocket.ts:42 Received token: 鲜艳
websocket.ts:42 Received token: 的
websocket.ts:42 Received token: 机械
websocket.ts:42 Received token: 键盘
websocket.ts:42 Received token: 、
websocket.ts:42 Received token: 一个
websocket.ts:42 Received token: 遥控
websocket.ts:42 Received token: 器
websocket.ts:42 Received token: 、
websocket.ts:42 Received token: 一个
websocket.ts:42 Received token: 装
websocket.ts:42 Received token: 有
websocket.ts:42 Received token: 液体
websocket.ts:42 Received token: 的
websocket.ts:42 Received token: 透明
websocket.ts:42 Received token: 玻璃
websocket.ts:42 Received token: 杯
websocket.ts:42 Received token: 以及
websocket.ts:42 Received token: 一个
websocket.ts:42 Received token: 小型
websocket.ts:42 Received token: 玩
websocket.ts:42 Received token: 偶
websocket.ts:42 Received token: 。
websocket.ts:42 Received token: 键盘
websocket.ts:42 Received token: 按键
websocket.ts:42 Received token: 颜色
websocket.ts:42 Received token: 丰富
websocket.ts:42 Received token: ，
websocket.ts:42 Received token: 包括
websocket.ts:42 Received token: 灰色
websocket.ts:42 Received token: 、
websocket.ts:42 Received token: 蓝色
